year,family,life_expectancy,freedom,government_corruption,generosity,dystopia_residual,gdp_per_capita,happiness_rank,happiness_score,country_id
2016,0.84783,0.62007,0.50817,0.07964,0.46978,0.9163299999999999,0.97318,117,4.415,132
2016,0.29247,0.45091,0.40285,0.08722,0.25028,2.17991,0.74036,118,4.404,117
2016,0.69981,0.3988,0.42692,0.20243,0.81971,1.5062099999999994,0.34112,119,4.395,129
2016,0.49813,0.52116,0.18847,0.10393,0.12706,1.9692999999999996,0.95395,120,4.362,135
2016,0.62477,0.64083,0.14037,0.03616,0.07793,1.9790800000000006,0.86086,121,4.36,127
2016,0.7624,0.30147,0.40576,0.06686,0.41328,1.8835600000000001,0.52267,122,4.356,125
2016,1.01413,0.58628,0.12859,0.01829,0.20363,1.50021,0.87287,123,4.324,111
2016,0.49353,0.29681,0.40973,0.0326,0.21203,2.20023,0.63107,124,4.276,114
2016,0.80676,0.188,0.15602,0.06075,0.25458,2.7492799999999997,0.05661,125,4.272,120
2016,0.19249,0.64035,0.32461,0.3188,0.06786,1.86997,0.83792,126,4.252,130
2016,0.47799,0.28212,0.37938,0.09753,0.12077,2.1071199999999997,0.77109,127,4.236,139
2016,0.77416,0.40457,0.31056,0.11681,0.19103,1.9787300000000005,0.44314,128,4.219,142
2016,0.92542,0.67806,0.21219,0.00615,0.12793,1.1541899999999998,1.11306,129,4.217,134
2016,0.84142,0.28639,0.1268,0.17955,0.22686,1.9260699999999997,0.61391,130,4.201,124
2016,0.71478,0.1595,0.25429,0.08582,0.18503,2.4431699999999994,0.35041,131,4.193,115
2016,0.147,0.29364,0.4143,0.07564,0.30968,2.8286499999999997,0.08709,132,4.156,131
2016,0.81928,0.29759,0.0,0.10039,0.18077,2.1102800000000004,0.63069,133,4.139,118
2016,0.72368,0.3494,0.28098,0.09314,0.06244,1.4528500000000002,1.15851,134,4.121,143
2016,0.86333,0.16347,0.27544,0.13647,0.21064,2.11073,0.31292,135,4.073,138
2016,0.29561,0.27494,0.12072,0.14476,0.47958,2.3714199999999996,0.34097,136,4.028,119
2016,0.89186,0.34752,0.44089,0.10769,0.12425,0.9675300000000004,1.09426,137,3.974,128
2016,0.60323,0.29981,0.15412,0.18437,0.1827,2.2566800000000002,0.27509,138,3.956,140
2016,0.57576,0.04476,0.40663,0.1553,0.20338,1.9750999999999999,0.55507,139,3.916,151
2016,0.5375,0.42494,0.58852,0.08092,0.40339,1.3156900000000005,0.55604,140,3.907,145
2016,0.66366,0.04991,0.00589,0.08434,0.12071,2.09418,0.84731,141,3.866,137
2016,0.6053,0.26162,0.38041,0.17176,0.2097,2.0945099999999996,0.1327,142,3.856,144
2016,0.18519,0.15781,0.19662,0.13015,0.25899,2.5092999999999996,0.39394,143,3.832,164
2016,0.63178,0.03824,0.12807,0.04952,0.18667,2.30658,0.42214,144,3.763,149
2016,0.63054,0.21297,0.3337,0.12533,0.24353,1.8729799999999999,0.31995,145,3.739,152
2016,0.90981,0.19625,0.43653,0.06442,0.27102,1.5137800000000001,0.34719,145,3.739,141
2016,0.47493,0.31048,0.2287,0.05892,0.09821,1.9733700000000005,0.57939,147,3.724,136
2016,0.46115,0.37109,0.13684,0.07506,0.2204,2.15092,0.27954,148,3.695,147
2016,0.77623,0.357,0.3176,0.05099,0.31472,1.37791,0.47155,149,3.666,146
2016,0.50353,0.23165,0.25748,0.04852,0.24063,2.23313,0.10706,150,3.622,116
2016,0.3109,0.18829,0.30953,0.1192,0.29914,2.15579,0.22415,151,3.607,150
2016,0.61586,0.31865,0.5432,0.50521,0.23552,0.9681000000000002,0.32846,152,3.515,154
2016,0.10419,0.21028,0.39747,0.06681,0.2018,2.10846,0.39499,153,3.484,155
2016,0.11037,0.17344,0.1643,0.07112,0.31268,2.1458199999999996,0.38227,154,3.36,153
2016,0.0,0.24811,0.34678,0.11587,0.17517,2.13584,0.28123,155,3.303,158
2016,0.14866,0.62994,0.06912,0.17233,0.48397,0.8177899999999996,0.74719,156,3.069,156
2016,0.23442,0.15747,0.0432,0.09419,0.2029,2.10451,0.06831,157,2.905,157
2017,1.53352355957031,0.796666502952576,0.635422587394714,0.315963834524155,0.36201223731041,2.2769482731819153,1.61646318435669,1,7.53700017929077,4
2017,1.55112159252167,0.792565524578094,0.626006722450256,0.40077006816864,0.355280488729477,2.313872426748273,1.48238301277161,2,7.52199983596802,3
2017,1.6105740070343,0.833552122116089,0.627162635326385,0.153526559472084,0.475540220737457,2.3230116218328547,1.480633020401,3,7.50400018692017,2
2017,1.51691174507141,0.858131289482117,0.620070576667786,0.367007285356522,0.290549278259277,2.276350229978558,1.56497955322266,4,7.49399995803833,1
2017,1.5402467250824,0.80915766954422,0.617950856685638,0.38261154294014,0.24548277258873,2.429978370666502,1.44357192516327,5,7.4689998626709,6
2017,1.42893922328949,0.810696125030518,0.585384488105774,0.282661825418472,0.470489829778671,2.294883728027335,1.50394463539124,6,7.3769998550415,7
2017,1.48134899139404,0.83455765247345,0.611100912094116,0.287371516227722,0.435539722442627,2.1868767738342347,1.47920441627502,7,7.31599998474121,5
2017,1.54819512367249,0.816759705543518,0.614062130451202,0.382816702127457,0.500005125999451,2.0464552938938123,1.40570604801178,8,7.31400012969971,9
2017,1.47816216945648,0.830875158309937,0.612924098968506,0.384398728609085,0.385399252176285,2.097853243350987,1.49438726902008,9,7.28399991989136,8
2017,1.51004195213318,0.84388679265976,0.601607382297516,0.301183730363846,0.477699249982834,2.065165877342224,1.484414935112,10,7.28399991989136,10
2017,1.37628996372223,0.83840399980545,0.405988603830338,0.0852421000599861,0.330082654953003,2.8016100749373436,1.37538242340088,11,7.21299982070923,11
2017,1.41640365123749,0.759509265422821,0.580131649971008,0.100106589496136,0.214613229036331,2.8985293284058535,1.10970628261566,12,7.0789999961853,12
2017,1.4599449634552,0.815328419208527,0.567766189575195,0.221060365438461,0.316472321748734,2.1383305191993722,1.48709726333618,13,7.00600004196167,13
2017,1.41992056369781,0.77428662776947,0.505740523338318,0.135638788342476,0.392578780651093,2.2185754626989436,1.54625928401947,14,6.99300003051758,15
2017,1.55823111534119,0.80978262424469,0.573110342025757,0.29838815331459,0.42785832285881,1.7739230394363323,1.53570663928986,15,6.97700023651123,18
2017,1.47252035140991,0.798950731754303,0.562511384487152,0.276731938123703,0.336269170045853,2.01609325408936,1.48792338371277,16,6.95100021362305,26
2017,1.46231269836426,0.818091869354248,0.539770722389221,0.251343131065369,0.231503337621689,2.124197274446484,1.46378076076508,17,6.89099979400635,19
2017,1.45758366584778,0.845089495182037,0.59662789106369,0.31883442401886,0.283180981874466,1.6197398602962467,1.74194359779358,18,6.86299991607666,17
2017,1.49646008014679,0.805335938930511,0.508190035820007,0.265428066253662,0.492774158716202,1.704178005456928,1.44163393974304,19,6.71400022506714,21
2017,1.28402495384216,0.819479703903198,0.376895278692245,0.0822879821062088,0.326662421226501,2.509865000844007,1.25278460979462,20,6.65199995040894,27
2017,1.26641023159027,0.726798236370087,0.60834527015686,0.324489563703537,0.3609419465065,1.7346711456775656,1.62634336948395,21,6.64799976348877,20
2017,1.43130600452423,0.616552352905273,0.437453746795654,0.111092761158943,0.16234989464283,2.7688922584056903,1.10735321044922,22,6.63500022888184,16
2017,1.43388521671295,0.754444003105164,0.490946173667908,0.0368729270994663,0.0881067588925362,2.452062774449585,1.35268235206604,23,6.60900020599365,31
2017,1.44045114517212,0.695137083530426,0.494519203901291,0.059739887714386,0.109457060694695,2.614400133490562,1.18529546260834,24,6.59899997711182,30
2017,1.210862159729,0.709978997707367,0.412730008363724,0.132774114608765,0.120990432798862,2.837480537593372,1.15318381786346,25,6.57800006866455,14
2017,1.35381436347961,0.949492394924164,0.549840569496155,0.46430778503418,0.345965981483459,1.2163012623786926,1.69227766990662,26,6.57200002670288,24
2017,1.48841166496277,0.821944236755371,0.588767051696777,0.153066068887711,0.574730575084686,1.5568005144596144,1.34327983856201,27,6.52699995040894,37
2017,1.41222786903381,0.719216823577881,0.57939225435257,0.178061872720718,0.175096929073334,2.1724445521831477,1.21755969524384,28,6.4539999961853,32
2017,1.25558519363403,0.540239989757538,0.531310617923737,0.0772232785820961,0.283488392829895,2.894150577485561,0.872001945972443,29,6.4539999961853,43
2017,1.37319254875183,0.706156134605408,0.550026834011078,0.070983923971653,0.21055693924427,2.3073353245854404,1.23374843597412,30,6.4520001411438,25
2017,1.38777685165405,0.844465851783752,0.470222115516663,0.172502428293228,0.129762306809425,2.006346896290782,1.43092346191406,31,6.44199991226196,29
2017,1.42579245567322,0.647239029407501,0.580200731754303,0.0316127352416515,0.572123110294342,2.039162952452892,1.12786877155304,32,6.42399978637695,34
2017,1.38456535339355,0.793984234333038,0.361466586589813,0.0638292357325554,0.258360475301743,2.1261675134301212,1.43362653255463,33,6.42199993133545,165
2017,1.53209090232849,0.888960599899292,0.408781230449677,0.0709140971302986,0.190133571624756,1.9277216121554366,1.38439786434174,34,6.40299987792969,36
2017,1.27429687976837,0.710098087787628,0.604130983352661,0.439299255609512,0.330473870038986,1.1459352374076825,1.87076568603516,35,6.375,28
2017,1.4021829366684,0.595027923583984,0.477487415075302,0.0466687418520451,0.149014472961426,2.6159960590302926,1.07062232494354,36,6.35699987411499,33
